Gloss,Proto-Seediq,Tgdaya,Proto-Toda-Truku,Central Toda,Proto-Truku,Central Truku,Eastern Truku 
`to take; to bring (PV)',*dəsun,desun,*dəsun,dəsun,*dəsun,dəsun,dəsun
`to teach (AV)',*təməgəsa,tumugesa,*təməgəsa,təməsa,*təməgəsa,təməgəsa,təməgəsa
`to tell someone to do something; to say (AV)',*məsa,mesa,*məsa,(əmca),*məsa,məsa,məsa
`to tell someone to do something; to say (PV)',*kəsun,kesun,*kəsun,sun,*kəsun,kəsun,kəsun
`to thank; generous (AV)',*məhuway,muhuwe,*məhuway,məhuway,*məhuway,məhuway,məhuway
`to think (AV)',*ləməŋəluŋ,lumuŋeluŋ,*ləməŋəluŋ,ləməŋəluŋ,*ləməŋəluŋ,ləməŋəluŋ,ləməŋəluŋ
`to think (LV)',*ləŋəluŋan,luŋuluŋan,*ləŋəluŋan,ləŋəluŋan,*ləŋəluŋan,ləŋəluŋan,ləŋəluŋan
`to thread a needle (AV)',*ləmihug,lumihu,*ləmihug,ləmihu,*ləmihug,ləmihug,ləmihug
`to thread a needle (PV)',*ləhugun,luhugun,*ləhugun,ləhuwi,*ləhugun,ləhugun,ləhugi
`to throw (AV)',*qəmada,qumada,*qəmada,qəmada,*qəmada,qəmada,qəmada
`to throw (LV/PV)',*qədaan,qudaanun,*qədaan,qədaanun,*qədaanun,qədaanun,qədaan
`to tie (AV)',*məkuy,mekuy,*məkuy,məkuy,*məkuy,məkuy,məkuy
`to tie (LV)',*bəkəyan,bukeyan,*bəkiyan,bəkiyan,*bəkiyan,bəkiyan,bəkiyan
`to tread; to walk on (AV)',*qəmələqah,qumuleqah,*qəmələqah,qəmələqah,*qəmələqah,qəməqah,qəmələqah
`to tread; to walk on (LV)',*qələqahan,quluqahan,*qələqahan,qələqahan,*qələqahan,qahun,qələqahan
"`to trip, roll down (AV)'",*mətakur,mutakun,*mətakur,mətakur,*mətakur,mətakur,mətakur
`to try (PV)',*təlamun,tulamun,*təlamun,təlami,*təlami,təlami,
`to turn (AV)',*məgəriq,mugeriq,*məgəriq,məriq,*məgəriq,məgəriq,məgəriq
`to turn (LV)',*pəgəriqan,punuguriqan,*pəgəriqan,pəriqan,*pəgəriqan,,pəgəriqan
`to turn back (AV)',*bərinah,burinah,*bərinah,bərinah,*bərinah,bərinah,bərinah
`to vomit (AV)',*mutaq,mutaq,*mutaq,,*mutaq,,mutaq
`to vomit (AV)',*pəbərih,puberih,*pəbərih,pəbərih,*təbərih,təbərih,pəbərih
`to wait (AV)',*təmaga,tumara,*təmaga,təmawa,*təmaga,təmaga,təmaga
`to wait (PV)',*təgaun,turaun,*təgaun,,*təgaun,,təgaun
`to walk (AV)',*məkəkəsa,mukukesa,*məkəsa,məkəsa,*məkəsa,məkəsa,məkəsa
"`to wash (clothes, AV)'",*mahu,mahu,*mahu,mahu,*mahu,mahu,mahu
"`to wash (clothes, LV)'",*bəhəan,peheun,*bəhaan,,*bəhaan,,bəhaan
"`to wash (the body, AV)'",*tərima,turima,*tərima,tərima,*tərima,tərima,tərima
"`to wash (the body, LV)'",*tərəmaan,turumaan,*tərəmaan,tərəmaan,*tərəmaan,tərəmaan,tərəmaan
`to waste; wasteful (AV)',*səməəliq,sumeeliq,*səməəliq,səməliq,*səməəliq,səməəliq,səməəliq
`to waste; wasteful (LV)',*səliqan,suliqan,*səliqan,səliqan,*səliqan,səliqan,səliqan
`to wave hand; to beckon (AV)',*təmaus,taus,*təmaus,taus ,*taus,taus,təmaus
`to wave hand; to beckon (LV)',*tawsan,tosun,*tawsan,,*tawsan,,towsan
`to weave cloth (AV)',*təminun,tuminun,*təminun,təminun,*təminun,təminun,təminun
`to weave cloth (PV)',*tunun,tunun,*tunun,,*tunun,,tunun
`to work (AV)',*qəməəpah,qumeepah,*qəməəpah,qəməpah,*qəməəpah,qəməpah,qəməəpah
`to work (PV)',*qəpahun,qupahun,*qəpahun,qəpahun,*qəpahun,qəpahun,qəpahun
`to wrap (AV)',*ləmabu,lumabu,*ləmabu,ləmabu,*ləmabu,ləmabu,ləmabu
`to wrap (PV)',*ləbuun,lubuun,*ləbuun,ləbuun,*ləbuun,ləbuun,ləbuun
`to yawn (AV)',*məsu[r/w]ak,musuwak,*məsurak,məsurak,*məsurak,məsurak,məsurak
`today; soon',*kiya,kiya,*kiya,kiya,*kiya,kiya,kiya
`tomorrow',*kusun,kusun,*kusun,kusun,*kusun,kusun,
`tongue',*həma,hema,*həma,həma,*həma,həma,həma
`too; also',*uri,uri,*uri,uri,*uri,uri,uri
`tree; wood',*qəhuni,qəhuni,*qəhuni,qəhuni,*qəhuni,qəhuni,qəhuni
`true; correct',*balay,bale,*balay,balay,*balay,balay,balay
`twenty',*məpusal,mupusan,*məpusal,məpusal,*əmpusal,əmpusal,əmpusal
`two days after tomorrow',*kənətəruan,kunuturuan,*kənətəruan,kənətəruan,*kənətəruan,kənətəruan,kənətəruan
`two days before yesterday',*cənətəruan,cunuturuan,*cənətəruan,cənətəruan,*sənəkətəruan,sənəkətəruan,sənəkətəruan
`two',*dəha,daha,*dəha,dəha,*dəha,dəha,dəha
`type; kind; sort',*kələgan,kulegan,*kələgan,kəluwan,*kələgan,,kələgan
`underneath; inside',*təruma,turuma,*təruma,təruma,*təruma ,təruma ,təruma 
`upslope',*daya,daya,*daya,,*daya,,daya
`urine',*cəhəmu,,*cəhəmu,cəhəmu,*səhəmu,səhəmu,səhəmu
`vegetable fern (Diplazium esculentum)',*rəmala,rumala,*rəmala,ləmala,*rəmala,ləmala,rəmala
`village; settlement',*alaŋ,alaŋ,*alaŋ,alaŋ,*alaŋ,alaŋ,alaŋ
`vine basket (woman)',*bəru\cvc,bururu,*bəruŋuy,bəruŋuy,*bəruŋuy,bəruŋuy,bəruŋuy
`waist',*həwinuk,huwinuk,*həwinuk,həwinuk,*həwinuk,həginuk,həwinuk
`wall',*qənabil,qunabin,*qənabil,qənabil,*qənabil,qənabil,qənabil
`warm',*məuxul,muuxun,*məuxul,muxul,*muxul,muxul,məuxul
`water',*qəsiya,qusiya,*qəsiya,qəsiya,*qəsiya,qəsiya,qəsiya
`wet (thing)',*məhuriq,muhuriq,*məhuriq,məhuriq,*məhuriq,məhuriq,məhuriq
`what',*məanu,maanu,*manu,manu,*manu,manu,manu
`when (past)',*səkənuwan,sukunuwan,*səkənuwan,cənəkənuwan,*səkənuwan,səkənuwan,səkənuwan
`when',*kənuwan,kunuwan,*kənuwan,kənuwan,*kənuwan,kənuwan,kənuwan
`where',*inu,inu,*inu,inu,*inu,inu,inu
`white; clean',*məbəhəgay,mubehege,*məbəhəgay,məbəhuway,*əmbəhəgay,əmbəhəgay,bəhəgay
`who',*ima,ima,*ima,ima,*ima,ima,ima
`wild herbs',*sama,sama,*sama,sama,*sama,sama,sama `Wild Lettuce'
`wild strawberry',*rəhənuk,rehenuk,*rəhənuk,rəhənuk,*rəhənuk,rəhənuk,rəhəluk
`wind',*bəgihur,bugihun,*bəgihur,buwihur; bihur,*bəgihur,bəgihur,bəgihur
`wine; alcoholic drink',*sinaw,sino,*sinaw,sinaw,*sinaw,sinaw,sinaw
`winter',*misan,misan,*misan,misan,*misan,misan,misan
`woman; wife',*(mə)qədil,muqedin `woman'; qedin `wife',*qəridil,qəridil,*qəriɟil,qəriɟil,
`worm',*bicur,bicun,*bicur,bicur,*bisur,bisur,bisur
`wound; cut',*luqih,luqah,*luqih,luqah,*luqih,luqih,luqih
`yarn',*waray,ware,*waray,waray,*waray,waray,waray
`yesterday',*cəhiga,ciga,*cəhiga,ciwa,*səhiga,səhiga,səhiga
`young man',*risaw,riso,*risaw,risaw,*risaw,risaw,risaw
`young woman',*wəəwa,weewa; ewa,*wəuwa,wouwa,*wauwa,wauwa,wauwa
`younger sibling',*səwayi,suwayi,*səwayi,səwayi,*səwayi,səwayi,səwayi
